Eval	SOPwTP	DDDT
200	-155675.00	0.64
300	-155675.00	0.64
400	-130091.00	0.64
500	-129462.00	0.65
600	-129462.00	0.65
700	-129462.00	0.65
800	-129462.00	0.65
900	-129462.00	0.65
1000	-129462.00	0.65
1100	-129462.00	0.65
1200	-129462.00	0.65
1300	-129462.00	0.65
1400	-129462.00	0.65
1500	-129462.00	0.65
1600	-129462.00	0.65
1700	-129462.00	0.65
1800	-129462.00	0.65
1900	-129462.00	0.65
2000	-129462.00	0.65
2100	-129462.00	0.65
2200	-129462.00	0.65
2300	-129462.00	0.65
2400	-129462.00	0.65
2500	-129462.00	0.65
2600	-129462.00	0.65
2700	-129462.00	0.65
2800	-129462.00	0.66
2900	-129462.00	0.66
3000	-129462.00	0.66
3100	-129462.00	0.66
3200	-129462.00	0.66
3300	-129462.00	0.66
3400	-129462.00	0.66
3500	-129462.00	0.66
3600	-129462.00	0.66
3700	-129462.00	0.66
3800	-129462.00	0.66
3900	-129462.00	0.66
4000	-129462.00	0.66
4100	-129462.00	0.66
4200	-129462.00	0.66
4300	-129462.00	0.66
4400	-129462.00	0.66
4500	-129462.00	0.66
4600	-129462.00	0.66
4700	-129462.00	0.66
4800	-129462.00	0.66
4900	-129462.00	0.66
5000	-129462.00	0.66
