method,objective_1,objective_2
"clustalw",-2678.0000000000,0.4712549676
"kalign",-1440.0000000000,0.4781149188
"mafft",33587.0000000000,0.4591797916
"muscle5",26132.0000000000,0.3509092237
"tcoffee",5645.0000000000,0.3638417136
"tmaligner",16546.0000000000,0.3817883450
