Eval	SOPwTP	DDDT
200	16880.00	0.77
300	16880.00	0.77
400	16880.00	0.78
500	16880.00	0.78
600	19611.00	0.78
700	19611.00	0.78
800	19611.00	0.78
900	19611.00	0.78
1000	19611.00	0.78
1100	19611.00	0.78
1200	19611.00	0.78
1300	20726.00	0.78
1400	20726.00	0.78
1500	20726.00	0.78
1600	20726.00	0.78
1700	21376.00	0.78
1800	21376.00	0.78
1900	21376.00	0.78
2000	21376.00	0.78
2100	21376.00	0.78
2200	21376.00	0.78
2300	21376.00	0.78
2400	21376.00	0.78
2500	21376.00	0.78
2600	21376.00	0.78
2700	21376.00	0.78
2800	22448.00	0.78
2900	22448.00	0.78
3000	22448.00	0.78
3100	22448.00	0.78
3200	22448.00	0.78
3300	22448.00	0.78
3400	22448.00	0.78
3500	22448.00	0.78
3600	22448.00	0.78
3700	22448.00	0.78
3800	22448.00	0.78
3900	22448.00	0.78
4000	22745.00	0.78
4100	22745.00	0.79
4200	22745.00	0.79
4300	22745.00	0.79
4400	22745.00	0.79
4500	22745.00	0.79
4600	22745.00	0.79
4700	22745.00	0.79
4800	22745.00	0.79
4900	22745.00	0.79
5000	22745.00	0.79
5100	22745.00	0.79
5200	22745.00	0.79
5300	22745.00	0.79
5400	22745.00	0.79
5500	22757.00	0.79
5600	22757.00	0.79
5700	22757.00	0.79
5800	22757.00	0.79
5900	22757.00	0.79
6000	22757.00	0.79
6100	22757.00	0.79
6200	22775.00	0.79
6300	22775.00	0.79
6400	22775.00	0.79
6500	22775.00	0.79
6600	22775.00	0.79
6700	22775.00	0.79
6800	22775.00	0.79
6900	22775.00	0.79
7000	22775.00	0.79
7100	22775.00	0.79
7200	23269.00	0.79
7300	23269.00	0.79
7400	23269.00	0.79
7500	23269.00	0.79
7600	23269.00	0.79
7700	23269.00	0.79
7800	23269.00	0.79
7900	23269.00	0.79
8000	23269.00	0.79
8100	23269.00	0.79
8200	23269.00	0.79
8300	23269.00	0.79
8400	23269.00	0.79
8500	23269.00	0.79
8600	23269.00	0.79
8700	23269.00	0.79
8800	23269.00	0.79
8900	23269.00	0.79
9000	23269.00	0.79
9100	23269.00	0.79
9200	23269.00	0.79
9300	23269.00	0.79
9400	23269.00	0.79
9500	23269.00	0.79
9600	23269.00	0.79
9700	23269.00	0.79
9800	23269.00	0.79
9900	23297.00	0.79
10000	23297.00	0.79
10100	23297.00	0.79
10200	23297.00	0.79
10300	23297.00	0.79
10400	23297.00	0.79
10500	23297.00	0.79
10600	23297.00	0.79
10700	23297.00	0.79
10800	23297.00	0.79
10900	23297.00	0.79
11000	23297.00	0.79
11100	23297.00	0.79
11200	23297.00	0.79
11300	23297.00	0.79
11400	23297.00	0.79
11500	23297.00	0.79
11600	23297.00	0.79
11700	23297.00	0.79
11800	23297.00	0.79
11900	23297.00	0.79
12000	23297.00	0.79
12100	23297.00	0.79
12200	23297.00	0.79
12300	23297.00	0.79
12400	23297.00	0.79
12500	23297.00	0.79
12600	23297.00	0.79
12700	23297.00	0.79
12800	23297.00	0.79
12900	23297.00	0.79
13000	23297.00	0.79
13100	23297.00	0.79
13200	23297.00	0.79
13300	23297.00	0.79
13400	23297.00	0.79
13500	23297.00	0.79
13600	23297.00	0.79
13700	23297.00	0.79
13800	23297.00	0.79
13900	23297.00	0.79
14000	23297.00	0.79
14100	23297.00	0.79
14200	23297.00	0.79
14300	23297.00	0.79
14400	23297.00	0.79
14500	23297.00	0.79
14600	23297.00	0.79
14700	23297.00	0.79
14800	23297.00	0.79
14900	23297.00	0.79
15000	23297.00	0.79
15100	23297.00	0.79
15200	23297.00	0.79
15300	23297.00	0.79
15400	23297.00	0.79
15500	23297.00	0.79
15600	23297.00	0.79
15700	23297.00	0.79
15800	23297.00	0.79
15900	23297.00	0.79
16000	23297.00	0.79
16100	23297.00	0.79
