method,objective_1,objective_2
"clustalw",124358.0000000000,0.4420819860
"kalign",130818.0000000000,0.4474366367
"mafft",140907.0000000000,0.4406890689
"muscle5",138356.0000000000,0.3972747159
"tcoffee",119846.0000000000,0.4009376983
"tmaligner",118305.0000000000,0.4360223690
