method,objective_1,objective_2
"clustalw",24371.0000000000,0.5885653995
"kalign",21800.0000000000,0.6195087232
"mafft",26123.0000000000,0.6035384543
"muscle5",27862.0000000000,0.5561131813
"tcoffee",25333.0000000000,0.5567845092
"tmaligner",25364.0000000000,0.5815403734
