Eval	SOPwTP	DDDT
200	-57459.00	0.73
300	-57459.00	0.73
400	-57459.00	0.73
500	-54348.00	0.73
600	-53751.00	0.73
700	-53751.00	0.73
800	-53751.00	0.73
900	-50655.00	0.73
1000	-50655.00	0.73
1100	-50427.00	0.73
1200	-49078.00	0.73
1300	-49078.00	0.74
1400	-49078.00	0.74
1500	-49078.00	0.74
1600	-49078.00	0.74
1700	-49078.00	0.74
1800	-49078.00	0.74
1900	-49078.00	0.74
2000	-49078.00	0.74
2100	-49078.00	0.74
2200	-49078.00	0.74
2300	-49078.00	0.74
2400	-49078.00	0.74
2500	-49078.00	0.74
2600	-49078.00	0.74
2700	-49078.00	0.74
2800	-49078.00	0.74
2900	-49078.00	0.74
3000	-49078.00	0.74
3100	-49046.00	0.74
3200	-49046.00	0.74
3300	-49046.00	0.74
3400	-49046.00	0.74
3500	-49046.00	0.74
3600	-49046.00	0.74
3700	-49046.00	0.74
3800	-49046.00	0.74
3900	-49046.00	0.74
4000	-49046.00	0.74
4100	-49046.00	0.74
4200	-48655.00	0.74
4300	-48655.00	0.74
4400	-48617.00	0.74
4500	-48588.00	0.74
4600	-48588.00	0.74
4700	-48588.00	0.74
4800	-48588.00	0.74
4900	-48540.00	0.74
5000	-48540.00	0.74
