Eval	SOPwTP	DDDT
200	121663,00	0,77
300	121663,00	0,77
400	123096,00	0,77
500	123096,00	0,77
600	123398,00	0,77
700	123398,00	0,77
800	123642,00	0,77
900	123642,00	0,77
1000	123642,00	0,77
1100	123642,00	0,77
1200	123773,00	0,77
1300	123773,00	0,77
1400	123773,00	0,77
1500	123773,00	0,77
1600	123936,00	0,77
1700	123936,00	0,77
1800	123936,00	0,77
1900	123936,00	0,77
2000	123936,00	0,77
