method,objective_1,objective_2
"caretta",-41569.0000000000,0.5246850062
"clustalw",42638.0000000000,0.4876811170
"foldmason",27937.0000000000,0.5621398752
"kalign",44220.0000000000,0.4911694739
"mafft",49149.0000000000,0.4704342865
"mtmalign",19042.0000000000,0.2066364409
"muscle5",47811.0000000000,0.4526512158
"mustang",24366.0000000000,0.3418901862
"tcoffee",45632.0000000000,0.4370223240
"tmaligner",43441.0000000000,0.4581180047
"usalign",23983.0000000000,0.2714465724
"usalign_clean",23983.0000000000,0.2714465724
