classA_001;classA_001;classA_001
MSASol87.msf;0.754;0.500
MSASol88.msf;0.755;0.500
MSASol89.msf;0.754;0.500
MSASol9.msf;0.742;0.190
MSASol90.msf;0.748;0.400
MSASol91.msf;0.752;0.500
MSASol92.msf;0.752;0.500
MSASol93.msf;0.754;0.500
MSASol94.msf;0.752;0.500
MSASol95.msf;0.754;0.500
MSASol96.msf;0.752;0.500
MSASol97.msf;0.754;0.500
MSASol98.msf;0.755;0.500
MSASol99.msf;0.754;0.500
classA_003;classA_003;classA_003
MSASol0.msf;0.746;0.490
MSASol1.msf;0.752;0.520
MSASol10.msf;0.752;0.520
MSASol11.msf;0.750;0.520
MSASol12.msf;0.748;0.520
MSASol13.msf;0.746;0.500
MSASol14.msf;0.752;0.520
MSASol15.msf;0.750;0.520
MSASol16.msf;0.746;0.490
MSASol17.msf;0.752;0.520
MSASol18.msf;0.750;0.520
MSASol19.msf;0.747;0.500
MSASol2.msf;0.746;0.490
MSASol20.msf;0.749;0.520
MSASol21.msf;0.748;0.490
MSASol22.msf;0.751;0.520
MSASol23.msf;0.748;0.520
MSASol24.msf;0.749;0.520
MSASol25.msf;0.747;0.520
MSASol26.msf;0.748;0.520
MSASol27.msf;0.749;0.520
MSASol28.msf;0.748;0.490
MSASol29.msf;0.750;0.520
MSASol3.msf;0.752;0.520
MSASol30.msf;0.750;0.520
MSASol31.msf;0.748;0.520
MSASol32.msf;0.752;0.520
MSASol33.msf;0.749;0.500
MSASol34.msf;0.746;0.490
MSASol35.msf;0.750;0.520
MSASol36.msf;0.745;0.490
MSASol37.msf;0.750;0.520
MSASol38.msf;0.752;0.520
MSASol39.msf;0.749;0.520
MSASol4.msf;0.750;0.520
MSASol40.msf;0.750;0.520
MSASol41.msf;0.746;0.490
MSASol42.msf;0.748;0.490
MSASol43.msf;0.746;0.490
MSASol44.msf;0.750;0.520
MSASol45.msf;0.748;0.520
MSASol46.msf;0.752;0.520
MSASol47.msf;0.750;0.520
MSASol48.msf;0.750;0.520
MSASol49.msf;0.748;0.520
MSASol5.msf;0.749;0.520
MSASol50.msf;0.748;0.520
MSASol51.msf;0.749;0.520
MSASol52.msf;0.746;0.520
MSASol53.msf;0.752;0.520
MSASol54.msf;0.748;0.490
MSASol55.msf;0.748;0.490
MSASol56.msf;0.752;0.520
MSASol57.msf;0.748;0.520
MSASol58.msf;0.748;0.520
MSASol59.msf;0.749;0.500
MSASol6.msf;0.750;0.520
MSASol60.msf;0.749;0.520
MSASol61.msf;0.748;0.520
MSASol62.msf;0.748;0.520
MSASol63.msf;0.746;0.500
MSASol64.msf;0.749;0.500
MSASol65.msf;0.751;0.520
MSASol66.msf;0.752;0.520
MSASol67.msf;0.750;0.520
MSASol68.msf;0.748;0.490
MSASol69.msf;0.747;0.520
MSASol7.msf;0.748;0.510
MSASol70.msf;0.748;0.490
MSASol71.msf;0.750;0.520
MSASol72.msf;0.746;0.490
MSASol73.msf;0.750;0.520
MSASol74.msf;0.746;0.490
MSASol75.msf;0.748;0.520
MSASol76.msf;0.746;0.490
MSASol77.msf;0.746;0.520
MSASol78.msf;0.747;0.500
MSASol79.msf;0.748;0.520
MSASol8.msf;0.752;0.520
MSASol80.msf;0.746;0.490
MSASol81.msf;0.746;0.490
MSASol82.msf;0.745;0.490
MSASol83.msf;0.750;0.520
MSASol84.msf;0.748;0.490
MSASol85.msf;0.750;0.520
MSASol86.msf;0.748;0.520
MSASol87.msf;0.748;0.490
MSASol88.msf;0.750;0.520
MSASol89.msf;0.748;0.490
MSASol9.msf;0.755;0.520
MSASol90.msf;0.746;0.490
MSASol91.msf;0.749;0.500
MSASol92.msf;0.752;0.520
MSASol93.msf;0.750;0.520
MSASol94.msf;0.750;0.520
MSASol95.msf;0.750;0.520
MSASol96.msf;0.752;0.520
MSASol97.msf;0.752;0.520
MSASol98.msf;0.749;0.520
MSASol99.msf;0.748;0.520
classA_004;classA_004;classA_004
MSASol0.msf;0.694;0.510
MSASol1.msf;0.693;0.510
MSASol10.msf;0.696;0.520
MSASol11.msf;0.696;0.520
MSASol12.msf;0.696;0.520
MSASol13.msf;0.696;0.520
MSASol14.msf;0.697;0.520
MSASol15.msf;0.696;0.520
MSASol16.msf;0.696;0.520
MSASol17.msf;0.696;0.520
MSASol18.msf;0.696;0.520
MSASol19.msf;0.693;0.510
MSASol2.msf;0.694;0.510
MSASol20.msf;0.696;0.520
MSASol21.msf;0.696;0.520
MSASol22.msf;0.696;0.520
MSASol23.msf;0.693;0.510
MSASol24.msf;0.696;0.520
MSASol25.msf;0.696;0.520
MSASol26.msf;0.689;0.500
MSASol27.msf;0.693;0.510
MSASol28.msf;0.693;0.510
MSASol29.msf;0.697;0.520
MSASol3.msf;0.696;0.520
MSASol30.msf;0.696;0.520
MSASol31.msf;0.696;0.520
MSASol32.msf;0.696;0.520
MSASol33.msf;0.696;0.520
MSASol34.msf;0.696;0.520
MSASol35.msf;0.693;0.510
MSASol36.msf;0.696;0.520
MSASol37.msf;0.696;0.520
MSASol38.msf;0.696;0.520
MSASol39.msf;0.696;0.520
MSASol4.msf;0.693;0.510
MSASol40.msf;0.696;0.520
MSASol41.msf;0.696;0.520
MSASol42.msf;0.696;0.520
MSASol43.msf;0.696;0.520
MSASol44.msf;0.696;0.520
MSASol45.msf;0.696;0.520
MSASol46.msf;0.693;0.510
MSASol47.msf;0.696;0.520
MSASol48.msf;0.693;0.510
MSASol49.msf;0.696;0.520
MSASol5.msf;0.696;0.520
MSASol50.msf;0.694;0.510
MSASol51.msf;0.697;0.520
MSASol52.msf;0.696;0.520
