classA_001;classA_001;classA_001
MSASol20.msf;0.897;0.670
MSASol21.msf;0.888;0.670
MSASol22.msf;0.907;0.770
MSASol23.msf;0.896;0.670
MSASol24.msf;0.907;0.760
MSASol25.msf;0.888;0.670
MSASol26.msf;0.905;0.760
MSASol27.msf;0.897;0.660
MSASol28.msf;0.888;0.670
MSASol29.msf;0.896;0.670
MSASol3.msf;0.889;0.660
MSASol30.msf;0.888;0.670
MSASol31.msf;0.887;0.670
MSASol32.msf;0.889;0.660
MSASol33.msf;0.907;0.770
MSASol34.msf;0.907;0.760
MSASol35.msf;0.905;0.760
MSASol36.msf;0.897;0.670
MSASol37.msf;0.888;0.670
MSASol38.msf;0.897;0.660
MSASol39.msf;0.907;0.760
MSASol4.msf;0.888;0.670
MSASol40.msf;0.889;0.660
MSASol41.msf;0.888;0.670
MSASol42.msf;0.888;0.670
MSASol43.msf;0.907;0.760
MSASol44.msf;0.896;0.670
MSASol45.msf;0.896;0.670
MSASol46.msf;0.888;0.670
MSASol47.msf;0.896;0.670
MSASol48.msf;0.897;0.660
MSASol49.msf;0.892;0.660
MSASol5.msf;0.889;0.660
MSASol50.msf;0.905;0.760
MSASol51.msf;0.897;0.670
MSASol52.msf;0.889;0.660
MSASol53.msf;0.888;0.670
MSASol54.msf;0.907;0.760
MSASol55.msf;0.898;0.660
MSASol56.msf;0.896;0.670
MSASol57.msf;0.896;0.670
MSASol58.msf;0.896;0.670
MSASol59.msf;0.888;0.670
MSASol6.msf;0.893;0.670
MSASol60.msf;0.906;0.750
MSASol61.msf;0.896;0.670
MSASol62.msf;0.907;0.760
MSASol63.msf;0.898;0.660
MSASol64.msf;0.897;0.660
MSASol65.msf;0.897;0.670
MSASol66.msf;0.898;0.660
MSASol67.msf;0.891;0.670
MSASol68.msf;0.889;0.660
MSASol69.msf;0.907;0.760
MSASol7.msf;0.889;0.660
MSASol70.msf;0.898;0.660
MSASol71.msf;0.905;0.760
MSASol72.msf;0.897;0.660
MSASol73.msf;0.891;0.670
MSASol74.msf;0.898;0.660
MSASol75.msf;0.888;0.670
MSASol76.msf;0.890;0.670
MSASol77.msf;0.891;0.670
MSASol78.msf;0.895;0.660
MSASol79.msf;0.898;0.660
MSASol8.msf;0.889;0.660
MSASol80.msf;0.888;0.670
MSASol81.msf;0.888;0.670
MSASol82.msf;0.896;0.670
MSASol83.msf;0.891;0.670
MSASol84.msf;0.888;0.670
MSASol85.msf;0.906;0.750
MSASol86.msf;0.891;0.670
MSASol87.msf;0.896;0.670
MSASol88.msf;0.888;0.670
MSASol89.msf;0.891;0.670
MSASol9.msf;0.905;0.760
MSASol90.msf;0.891;0.670
MSASol91.msf;0.891;0.670
MSASol92.msf;0.888;0.670
MSASol93.msf;0.907;0.760
MSASol94.msf;0.888;0.670
MSASol95.msf;0.890;0.670
MSASol96.msf;0.907;0.770
MSASol97.msf;0.888;0.670
MSASol98.msf;0.891;0.670
MSASol99.msf;0.888;0.670
classA_001_19;classA_001_19;classA_001_19
MSASol0.msf;0.779;0.690
MSASol1.msf;0.784;0.680
MSASol10.msf;0.784;0.680
MSASol11.msf;0.783;0.700
MSASol12.msf;0.788;0.710
MSASol13.msf;0.784;0.680
MSASol14.msf;0.784;0.680
MSASol15.msf;0.787;0.690
MSASol16.msf;0.784;0.680
MSASol17.msf;0.779;0.690
MSASol18.msf;0.781;0.680
MSASol19.msf;0.782;0.680
MSASol2.msf;0.779;0.690
MSASol20.msf;0.780;0.680
MSASol21.msf;0.783;0.680
MSASol22.msf;0.783;0.700
MSASol23.msf;0.787;0.690
MSASol24.msf;0.783;0.680
MSASol25.msf;0.788;0.690
MSASol26.msf;0.784;0.680
MSASol27.msf;0.782;0.680
MSASol28.msf;0.782;0.680
MSASol29.msf;0.783;0.680
MSASol3.msf;0.786;0.690
MSASol30.msf;0.786;0.690
MSASol31.msf;0.786;0.680
MSASol32.msf;0.787;0.690
MSASol33.msf;0.784;0.680
MSASol34.msf;0.781;0.680
MSASol35.msf;0.786;0.690
MSASol36.msf;0.781;0.680
MSASol37.msf;0.783;0.680
MSASol38.msf;0.784;0.680
MSASol39.msf;0.782;0.680
MSASol4.msf;0.787;0.710
MSASol40.msf;0.786;0.690
MSASol41.msf;0.784;0.680
MSASol42.msf;0.788;0.710
MSASol43.msf;0.784;0.680
MSASol44.msf;0.786;0.690
MSASol45.msf;0.781;0.680
MSASol46.msf;0.784;0.680
MSASol47.msf;0.782;0.680
MSASol48.msf;0.782;0.680
MSASol49.msf;0.790;0.710
MSASol5.msf;0.786;0.690
MSASol50.msf;0.781;0.680
MSASol51.msf;0.781;0.680
MSASol52.msf;0.782;0.680
MSASol53.msf;0.782;0.680
MSASol54.msf;0.784;0.680
MSASol55.msf;0.787;0.690
MSASol56.msf;0.788;0.710
MSASol57.msf;0.783;0.680
MSASol58.msf;0.783;0.680
MSASol59.msf;0.784;0.680
MSASol6.msf;0.785;0.680
MSASol60.msf;0.783;0.680
MSASol61.msf;0.783;0.680
MSASol62.msf;0.783;0.680
MSASol63.msf;0.781;0.680
MSASol64.msf;0.782;0.680
MSASol65.msf;0.784;0.680
MSASol66.msf;0.782;0.680
MSASol67.msf;0.787;0.690
MSASol68.msf;0.783;0.680
MSASol69.msf;0.783;0.680
MSASol7.msf;0.788;0.710
MSASol70.msf;0.786;0.690
MSASol71.msf;0.782;0.680
MSASol72.msf;0.782;0.680
MSASol73.msf;0.786;0.690
MSASol74.msf;0.782;0.680
MSASol75.msf;0.780;0.680
MSASol76.msf;0.783;0.680
MSASol77.msf;0.784;0.680
MSASol78.msf;0.784;0.680
MSASol79.msf;0.783;0.680
MSASol8.msf;0.782;0.680
MSASol80.msf;0.783;0.680
MSASol81.msf;0.787;0.690
MSASol82.msf;0.782;0.680
MSASol83.msf;0.781;0.680
MSASol84.msf;0.783;0.680
MSASol85.msf;0.783;0.680
MSASol86.msf;0.783;0.680
MSASol87.msf;0.783;0.680
MSASol88.msf;0.787;0.710
MSASol89.msf;0.781;0.680
MSASol9.msf;0.784;0.680
MSASol90.msf;0.786;0.690
MSASol91.msf;0.788;0.710
MSASol92.msf;0.783;0.680
MSASol93.msf;0.783;0.680
MSASol94.msf;0.786;0.690
MSASol95.msf;0.783;0.680
MSASol96.msf;0.787;0.690
MSASol97.msf;0.784;0.680
MSASol98.msf;0.781;0.680
MSASol99.msf;0.788;0.710
classA_002_19;classA_002_19;classA_002_19
MSASol0.msf;0.771;0.580
MSASol1.msf;0.780;0.690
MSASol10.msf;0.783;0.680
MSASol100.msf;0.772;0.580
MSASol11.msf;0.771;0.580
MSASol12.msf;0.771;0.580
MSASol13.msf;0.771;0.580
MSASol14.msf;0.771;0.580
MSASol15.msf;0.771;0.580
MSASol16.msf;0.771;0.580
MSASol17.msf;0.772;0.580
MSASol18.msf;0.771;0.580
MSASol19.msf;0.772;0.580
MSASol2.msf;0.771;0.580
MSASol20.msf;0.771;0.580
MSASol21.msf;0.771;0.580
MSASol22.msf;0.772;0.580
MSASol23.msf;0.771;0.580
MSASol24.msf;0.771;0.580
MSASol25.msf;0.771;0.580
MSASol26.msf;0.772;0.580
MSASol27.msf;0.772;0.580
MSASol28.msf;0.771;0.580
MSASol29.msf;0.771;0.580
MSASol3.msf;0.783;0.680
MSASol30.msf;0.771;0.580
MSASol31.msf;0.771;0.580
MSASol32.msf;0.771;0.580
MSASol33.msf;0.771;0.580
MSASol34.msf;0.771;0.580
MSASol35.msf;0.771;0.580
MSASol36.msf;0.771;0.580
MSASol37.msf;0.771;0.580
MSASol38.msf;0.771;0.580
MSASol39.msf;0.771;0.580
MSASol4.msf;0.771;0.580
MSASol40.msf;0.771;0.580
MSASol41.msf;0.771;0.580
MSASol42.msf;0.771;0.580
MSASol43.msf;0.771;0.580
MSASol44.msf;0.772;0.580
MSASol45.msf;0.780;0.690
MSASol46.msf;0.771;0.580
MSASol47.msf;0.771;0.580
MSASol48.msf;0.771;0.580
MSASol49.msf;0.771;0.580
MSASol5.msf;0.771;0.580
MSASol50.msf;0.771;0.580
MSASol51.msf;0.771;0.580
MSASol52.msf;0.783;0.680
MSASol53.msf;0.772;0.580
MSASol54.msf;0.771;0.580
MSASol55.msf;0.771;0.580
MSASol56.msf;0.771;0.580
MSASol57.msf;0.771;0.580
MSASol58.msf;0.771;0.580
MSASol59.msf;0.772;0.580
MSASol6.msf;0.783;0.680
MSASol60.msf;0.771;0.580
MSASol61.msf;0.771;0.580
MSASol62.msf;0.771;0.580
MSASol63.msf;0.771;0.580
MSASol64.msf;0.771;0.580
MSASol65.msf;0.772;0.580
MSASol66.msf;0.771;0.580
MSASol67.msf;0.771;0.580
MSASol68.msf;0.772;0.580
MSASol69.msf;0.771;0.580
MSASol7.msf;0.771;0.580
MSASol70.msf;0.771;0.580
MSASol71.msf;0.772;0.580
MSASol72.msf;0.771;0.580
MSASol73.msf;0.772;0.580
MSASol74.msf;0.771;0.580
MSASol75.msf;0.771;0.580
MSASol76.msf;0.783;0.680
MSASol77.msf;0.771;0.580
MSASol78.msf;0.771;0.580
MSASol79.msf;0.772;0.580
MSASol8.msf;0.771;0.580
MSASol80.msf;0.771;0.580
MSASol81.msf;0.783;0.680
MSASol82.msf;0.771;0.580
MSASol83.msf;0.771;0.580
MSASol84.msf;0.771;0.580
MSASol85.msf;0.772;0.580
MSASol86.msf;0.771;0.580
MSASol87.msf;0.771;0.580
MSASol88.msf;0.771;0.580
MSASol89.msf;0.780;0.690
MSASol9.msf;0.772;0.580
MSASol90.msf;0.771;0.580
MSASol91.msf;0.783;0.680
MSASol92.msf;0.771;0.580
MSASol93.msf;0.771;0.580
MSASol94.msf;0.771;0.580
MSASol95.msf;0.771;0.580
MSASol96.msf;0.771;0.580
MSASol97.msf;0.771;0.580
MSASol98.msf;0.771;0.580
MSASol99.msf;0.772;0.580
classA_003_19;classA_003_19;classA_003_19
MSASol0.msf;0.794;0.720
MSASol1.msf;0.795;0.720
MSASol10.msf;0.794;0.720
MSASol100.msf;0.797;0.720
MSASol11.msf;0.793;0.720
MSASol12.msf;0.795;0.720
MSASol13.msf;0.793;0.720
MSASol14.msf;0.797;0.720
MSASol15.msf;0.791;0.720
MSASol16.msf;0.793;0.720
MSASol17.msf;0.791;0.720
MSASol18.msf;0.795;0.720
MSASol19.msf;0.793;0.720
MSASol2.msf;0.794;0.720
MSASol20.msf;0.793;0.720
MSASol21.msf;0.797;0.720
MSASol22.msf;0.793;0.720
MSASol23.msf;0.792;0.720
MSASol24.msf;0.798;0.720
MSASol25.msf;0.791;0.720
MSASol26.msf;0.794;0.720
MSASol27.msf;0.791;0.720
MSASol28.msf;0.793;0.720
MSASol29.msf;0.791;0.720
MSASol3.msf;0.794;0.720
MSASol30.msf;0.791;0.720
MSASol31.msf;0.792;0.710
MSASol32.msf;0.797;0.720
MSASol33.msf;0.795;0.720
MSASol34.msf;0.798;0.720
MSASol35.msf;0.797;0.720
MSASol36.msf;0.794;0.720
MSASol37.msf;0.795;0.720
MSASol38.msf;0.791;0.720
MSASol39.msf;0.791;0.720
MSASol4.msf;0.793;0.720
MSASol40.msf;0.795;0.720
MSASol41.msf;0.791;0.720
MSASol42.msf;0.791;0.720
MSASol43.msf;0.794;0.720
MSASol44.msf;0.797;0.720
MSASol45.msf;0.793;0.720
MSASol46.msf;0.795;0.720
MSASol47.msf;0.791;0.720
MSASol48.msf;0.791;0.710
MSASol49.msf;0.793;0.720
MSASol5.msf;0.793;0.720
MSASol50.msf;0.795;0.720
MSASol51.msf;0.791;0.720
MSASol52.msf;0.798;0.720
MSASol53.msf;0.797;0.720
MSASol54.msf;0.793;0.720
MSASol55.msf;0.795;0.720
MSASol56.msf;0.795;0.720
MSASol57.msf;0.795;0.720
MSASol58.msf;0.793;0.720
MSASol59.msf;0.793;0.720
MSASol6.msf;0.794;0.720
MSASol60.msf;0.794;0.720
MSASol61.msf;0.791;0.720
MSASol62.msf;0.794;0.710
MSASol63.msf;0.793;0.720
MSASol64.msf;0.793;0.720
MSASol65.msf;0.791;0.720
MSASol66.msf;0.793;0.720
MSASol67.msf;0.797;0.720
MSASol68.msf;0.793;0.720
MSASol69.msf;0.791;0.720
MSASol7.msf;0.798;0.720
MSASol70.msf;0.795;0.720
MSASol71.msf;0.797;0.720
MSASol72.msf;0.798;0.720
MSASol73.msf;0.792;0.720
MSASol74.msf;0.795;0.720
MSASol75.msf;0.795;0.720
MSASol76.msf;0.795;0.720
MSASol77.msf;0.798;0.720
MSASol78.msf;0.793;0.720
MSASol79.msf;0.794;0.720
MSASol8.msf;0.794;0.720
MSASol80.msf;0.793;0.720
MSASol81.msf;0.797;0.720
MSASol82.msf;0.797;0.720
MSASol83.msf;0.797;0.720
MSASol84.msf;0.793;0.720
MSASol85.msf;0.797;0.720
MSASol86.msf;0.797;0.720
MSASol87.msf;0.797;0.720
MSASol88.msf;0.794;0.720
MSASol89.msf;0.793;0.720
MSASol9.msf;0.794;0.720
MSASol90.msf;0.792;0.710
MSASol91.msf;0.793;0.720
MSASol92.msf;0.793;0.720
MSASol93.msf;0.792;0.720
MSASol94.msf;0.791;0.720
MSASol95.msf;0.795;0.720
MSASol96.msf;0.792;0.710
MSASol97.msf;0.798;0.720
MSASol98.msf;0.793;0.720
MSASol99.msf;0.797;0.720
classA_004_19;classA_004_19;classA_004_19
MSASol0.msf;0.743;0.650
MSASol1.msf;0.728;0.570
MSASol10.msf;0.728;0.570
MSASol11.msf;0.728;0.570
MSASol12.msf;0.742;0.670
MSASol13.msf;0.739;0.670
MSASol14.msf;0.740;0.650
MSASol15.msf;0.740;0.650
MSASol16.msf;0.728;0.570
MSASol17.msf;0.728;0.570
MSASol18.msf;0.728;0.570
MSASol19.msf;0.740;0.650
MSASol2.msf;0.743;0.650
MSASol20.msf;0.742;0.670
MSASol21.msf;0.728;0.570
MSASol22.msf;0.742;0.670
MSASol23.msf;0.740;0.650
MSASol24.msf;0.741;0.650
MSASol25.msf;0.742;0.670
MSASol26.msf;0.740;0.650
MSASol27.msf;0.748;0.650
MSASol28.msf;0.742;0.670
MSASol29.msf;0.739;0.670
MSASol3.msf;0.740;0.650
MSASol30.msf;0.740;0.650
MSASol31.msf;0.740;0.650
MSASol32.msf;0.744;0.650
MSASol33.msf;0.742;0.670
MSASol34.msf;0.742;0.670
MSASol35.msf;0.728;0.570
MSASol36.msf;0.728;0.570
MSASol37.msf;0.740;0.650
MSASol38.msf;0.740;0.650
MSASol39.msf;0.743;0.670
MSASol4.msf;0.746;0.670
MSASol40.msf;0.743;0.670
MSASol41.msf;0.744;0.650
MSASol42.msf;0.746;0.670
MSASol43.msf;0.728;0.570
MSASol44.msf;0.728;0.570
MSASol45.msf;0.743;0.670
MSASol46.msf;0.739;0.670
MSASol47.msf;0.728;0.570
MSASol48.msf;0.746;0.670
MSASol49.msf;0.748;0.650
MSASol5.msf;0.728;0.570
MSASol50.msf;0.743;0.650
MSASol51.msf;0.728;0.570
MSASol52.msf;0.748;0.650
MSASol53.msf;0.739;0.670
MSASol54.msf;0.746;0.670
MSASol55.msf;0.744;0.650
MSASol56.msf;0.745;0.650
MSASol57.msf;0.746;0.670
MSASol58.msf;0.742;0.670
MSASol59.msf;0.743;0.650
MSASol6.msf;0.742;0.670
MSASol60.msf;0.742;0.670
MSASol61.msf;0.739;0.670
MSASol62.msf;0.742;0.670
MSASol63.msf;0.748;0.650
MSASol64.msf;0.740;0.650
MSASol65.msf;0.740;0.650
MSASol66.msf;0.744;0.650
MSASol67.msf;0.739;0.670
MSASol68.msf;0.744;0.650
MSASol69.msf;0.742;0.670
MSASol7.msf;0.728;0.570
MSASol70.msf;0.739;0.670
MSASol71.msf;0.742;0.670
MSASol72.msf;0.742;0.670
MSASol73.msf;0.743;0.670
MSASol74.msf;0.742;0.670
MSASol75.msf;0.740;0.650
MSASol76.msf;0.740;0.650
MSASol77.msf;0.728;0.570
MSASol78.msf;0.740;0.650
MSASol79.msf;0.743;0.650
MSASol8.msf;0.742;0.670
MSASol80.msf;0.746;0.670
MSASol81.msf;0.728;0.570
MSASol82.msf;0.740;0.650
MSASol83.msf;0.739;0.670
MSASol84.msf;0.744;0.650
MSASol85.msf;0.739;0.670
MSASol86.msf;0.728;0.570
MSASol87.msf;0.741;0.650
MSASol88.msf;0.743;0.670
MSASol89.msf;0.739;0.670
MSASol9.msf;0.742;0.670
MSASol90.msf;0.740;0.650
MSASol91.msf;0.743;0.650
MSASol92.msf;0.748;0.650
MSASol93.msf;0.743;0.670
MSASol94.msf;0.742;0.670
MSASol95.msf;0.743;0.670
MSASol96.msf;0.728;0.570
MSASol97.msf;0.746;0.670
MSASol98.msf;0.743;0.670
MSASol99.msf;0.742;0.670
classC_19;classC_19;classC_19
MSASol0.msf;0.663;0.290
MSASol1.msf;0.604;0.000
MSASol10.msf;0.660;0.280
MSASol11.msf;0.663;0.290
MSASol12.msf;0.615;0.000
MSASol13.msf;0.659;0.280
MSASol14.msf;0.631;0.130
MSASol15.msf;0.615;0.000
MSASol16.msf;0.668;0.290
MSASol17.msf;0.600;0.000
MSASol18.msf;0.615;0.000
MSASol19.msf;0.615;0.000
MSASol2.msf;0.663;0.290
MSASol20.msf;0.659;0.280
MSASol21.msf;0.663;0.290
MSASol22.msf;0.659;0.290
MSASol23.msf;0.615;0.000
MSASol24.msf;0.615;0.000
MSASol25.msf;0.659;0.290
MSASol26.msf;0.661;0.290
MSASol27.msf;0.659;0.290
MSASol28.msf;0.604;0.000
MSASol29.msf;0.652;0.220
MSASol3.msf;0.604;0.000
MSASol30.msf;0.664;0.290
MSASol31.msf;0.668;0.290
MSASol32.msf;0.655;0.290
MSASol33.msf;0.659;0.280
MSASol34.msf;0.615;0.000
MSASol35.msf;0.652;0.220
MSASol36.msf;0.659;0.290
MSASol37.msf;0.659;0.290
MSASol38.msf;0.615;0.000
MSASol39.msf;0.604;0.000
MSASol4.msf;0.631;0.130
MSASol40.msf;0.615;0.000
MSASol41.msf;0.604;0.000
MSASol42.msf;0.659;0.290
MSASol43.msf;0.615;0.000
MSASol44.msf;0.668;0.290
MSASol45.msf;0.663;0.290
MSASol46.msf;0.659;0.290
MSASol47.msf;0.659;0.290
MSASol48.msf;0.615;0.000
MSASol49.msf;0.615;0.000
MSASol5.msf;0.652;0.220
MSASol50.msf;0.664;0.290
MSASol51.msf;0.659;0.280
MSASol52.msf;0.668;0.290
MSASol53.msf;0.615;0.000
MSASol54.msf;0.663;0.290
MSASol55.msf;0.661;0.290
MSASol56.msf;0.615;0.000
MSASol57.msf;0.661;0.290
MSASol58.msf;0.659;0.290
MSASol59.msf;0.604;0.000
MSASol6.msf;0.652;0.220
MSASol60.msf;0.660;0.280
MSASol61.msf;0.659;0.290
MSASol62.msf;0.659;0.290
MSASol63.msf;0.664;0.290
MSASol64.msf;0.615;0.000
MSASol65.msf;0.615;0.000
MSASol66.msf;0.661;0.290
MSASol67.msf;0.661;0.290
MSASol68.msf;0.657;0.290
MSASol69.msf;0.661;0.290
MSASol7.msf;0.660;0.280
MSASol70.msf;0.661;0.290
MSASol71.msf;0.615;0.000
MSASol72.msf;0.655;0.290
MSASol73.msf;0.659;0.290
MSASol74.msf;0.661;0.290
MSASol75.msf;0.664;0.290
MSASol76.msf;0.604;0.000
MSASol77.msf;0.655;0.290
MSASol78.msf;0.604;0.000
MSASol79.msf;0.615;0.000
MSASol8.msf;0.663;0.290
MSASol80.msf;0.659;0.280
MSASol81.msf;0.659;0.290
MSASol82.msf;0.664;0.290
MSASol83.msf;0.604;0.000
MSASol84.msf;0.604;0.000
MSASol85.msf;0.661;0.290
MSASol86.msf;0.652;0.220
MSASol87.msf;0.659;0.290
MSASol88.msf;0.659;0.290
MSASol89.msf;0.661;0.290
MSASol9.msf;0.652;0.220
MSASol90.msf;0.661;0.290
MSASol91.msf;0.659;0.290
MSASol92.msf;0.615;0.000
MSASol93.msf;0.664;0.290
MSASol94.msf;0.615;0.000
MSASol95.msf;0.661;0.290
MSASol96.msf;0.659;0.290
MSASol97.msf;0.659;0.290
MSASol98.msf;0.659;0.280
MSASol99.msf;0.604;0.000
classB2_19;classB2_19;classB2_19
MSASol0.msf;0.554;0.290
MSASol1.msf;0.578;0.290
MSASol10.msf;0.581;0.310
MSASol11.msf;0.580;0.310
MSASol12.msf;0.581;0.310
MSASol13.msf;0.581;0.310
MSASol14.msf;0.573;0.310
MSASol15.msf;0.581;0.310
MSASol16.msf;0.580;0.310
MSASol17.msf;0.577;0.310
MSASol18.msf;0.578;0.290
MSASol19.msf;0.580;0.300
MSASol2.msf;0.554;0.290
MSASol20.msf;0.576;0.260
MSASol21.msf;0.580;0.310
MSASol22.msf;0.581;0.310
MSASol23.msf;0.581;0.310
MSASol24.msf;0.579;0.300
MSASol25.msf;0.581;0.310
MSASol26.msf;0.581;0.310
MSASol27.msf;0.580;0.310
MSASol28.msf;0.582;0.310
MSASol29.msf;0.579;0.310
MSASol3.msf;0.578;0.290
MSASol30.msf;0.576;0.290
MSASol31.msf;0.582;0.310
MSASol32.msf;0.554;0.290
MSASol33.msf;0.581;0.310
MSASol34.msf;0.582;0.310
MSASol35.msf;0.576;0.270
MSASol36.msf;0.580;0.310
MSASol37.msf;0.580;0.310
MSASol38.msf;0.580;0.310
MSASol39.msf;0.579;0.300
MSASol4.msf;0.578;0.290
MSASol40.msf;0.581;0.310
MSASol41.msf;0.578;0.310
MSASol42.msf;0.580;0.310
MSASol43.msf;0.581;0.310
MSASol44.msf;0.579;0.310
MSASol45.msf;0.580;0.310
MSASol46.msf;0.580;0.310
MSASol47.msf;0.578;0.290
MSASol48.msf;0.580;0.310
MSASol49.msf;0.580;0.310
MSASol5.msf;0.556;0.290
MSASol50.msf;0.582;0.310
MSASol51.msf;0.580;0.310
MSASol52.msf;0.576;0.260
MSASol53.msf;0.580;0.310
MSASol54.msf;0.575;0.310
MSASol55.msf;0.581;0.310
MSASol56.msf;0.580;0.310
MSASol57.msf;0.575;0.310
MSASol58.msf;0.575;0.290
MSASol59.msf;0.578;0.290
MSASol6.msf;0.573;0.310
MSASol60.msf;0.578;0.310
MSASol61.msf;0.580;0.310
MSASol62.msf;0.580;0.310
MSASol63.msf;0.578;0.310
MSASol64.msf;0.579;0.310
MSASol65.msf;0.580;0.310
MSASol66.msf;0.578;0.310
MSASol67.msf;0.581;0.310
MSASol68.msf;0.576;0.310
MSASol69.msf;0.581;0.310
MSASol7.msf;0.575;0.260
MSASol70.msf;0.554;0.290
MSASol71.msf;0.581;0.310
MSASol72.msf;0.580;0.310
MSASol73.msf;0.576;0.310
MSASol74.msf;0.578;0.290
MSASol75.msf;0.580;0.310
MSASol76.msf;0.580;0.310
MSASol77.msf;0.581;0.310
MSASol78.msf;0.556;0.290
MSASol79.msf;0.580;0.310
MSASol8.msf;0.577;0.310
MSASol80.msf;0.581;0.310
MSASol81.msf;0.578;0.290
MSASol82.msf;0.580;0.310
MSASol83.msf;0.554;0.290
MSASol84.msf;0.580;0.310
MSASol85.msf;0.580;0.310
MSASol86.msf;0.582;0.320
MSASol87.msf;0.580;0.310
MSASol88.msf;0.580;0.310
MSASol89.msf;0.581;0.310
MSASol9.msf;0.580;0.310
MSASol90.msf;0.581;0.310
MSASol91.msf;0.580;0.310
MSASol92.msf;0.581;0.310
MSASol93.msf;0.578;0.290
MSASol94.msf;0.576;0.290
MSASol95.msf;0.580;0.310
MSASol96.msf;0.582;0.310
MSASol97.msf;0.581;0.310
MSASol98.msf;0.581;0.310
MSASol99.msf;0.580;0.310
