dataset,method,objective_1,objective_2,fasta,status,message
"classA_002","muscle5",422296.0000000000,0.2129151769,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\muscle5_classA_002.fasta",ok,""
"classA_002","mustang",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\mustang_classA_002.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\mustang_classA_002.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'mchr1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\mustang_classA_002.fasta. Expected length=422, obtained length=353"
"classA_002","tcoffee",233174.0000000000,0.2054838748,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\tcoffee_classA_002.fasta",ok,""
"classA_002","tmaligner",288901.0000000000,0.2204628583,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\tmaligner_classA_002.fasta",ok,""
"classA_002","usalign",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\usalign_classA_002.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\usalign_classA_002.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'mchr1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\usalign_classA_002.fasta. Expected length=422, obtained length=353"
"classA_002","usalign_clean",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\usalign_classA_002_clean.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\usalign_classA_002_clean.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'mchr1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002\usalign_classA_002_clean.fasta. Expected length=422, obtained length=353"
"classA_002_19","caretta",-41569.0000000000,0.5246850062,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\caretta_classA_002_19.fasta",ok,""
"classA_002_19","clustalw",42638.0000000000,0.4876811170,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\clustalw_classA_002_19.fasta",ok,""
"classA_002_19","foldmason",27937.0000000000,0.5621398752,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\foldmason_classA_002_19.fasta",ok,""
"classA_002_19","kalign",44220.0000000000,0.4911694739,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\kalign_classA_002_19.fasta",ok,""
