dataset,method,objective_1,objective_2,fasta,status,message
"classC","mafft",-19780.0000000000,0.2994525753,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\mafft_classC.fasta",ok,""
"classC","mtmalign",-226402.0000000000,0.1085825503,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\mtmalign_classC.fasta",ok,""
"classC","muscle5",-25115.0000000000,0.2597536076,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\muscle5_classC.fasta",ok,""
"classC","mustang",-75580.0000000000,0.2285439641,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\mustang_classC.fasta",ok,""
"classC","tcoffee",-38666.0000000000,0.2281098698,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\tcoffee_classC.fasta",ok,""
"classC","tmaligner",-36277.0000000000,0.2764038746,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\tmaligner_classC.fasta",ok,""
"classC","usalign",-180949.0000000000,0.1626207566,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\usalign_classC.fasta",ok,""
"classC","usalign_clean",-180949.0000000000,0.1626207566,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\usalign_classC_clean.fasta",ok,""
"classC_19","caretta",-183691.0000000000,0.3356242203,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\caretta_classC_19.fasta",ok,""
"classC_19","clustalw",-11625.0000000000,0.2966347451,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\clustalw_classC_19.fasta",ok,""
"classC_19","foldmason",-27439.0000000000,0.3184903383,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\foldmason_classC_19.fasta",ok,""
"classC_19","kalign",-10001.0000000000,0.2983117405,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\kalign_classC_19.fasta",ok,""
"classC_19","mafft",-10221.0000000000,0.3106150717,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\mafft_classC_19.fasta",ok,""
"classC_19","mtmalign",-169705.0000000000,0.1164340643,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\mtmalign_classC_19.fasta",ok,""
"classC_19","muscle5",-739.0000000000,0.2768487786,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\muscle5_classC_19.fasta",ok,""
"classC_19","mustang",-42105.0000000000,0.2463772575,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\mustang_classC_19.fasta",ok,""
"classC_19","tcoffee",-11116.0000000000,0.2431130470,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\tcoffee_classC_19.fasta",ok,""
"classC_19","tmaligner",-4332.0000000000,0.2864581723,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\tmaligner_classC_19.fasta",ok,""
"classC_19","usalign",-117113.0000000000,0.1714749119,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\usalign_classC_19.fasta",ok,""
"classC_19","usalign_clean",-117113.0000000000,0.1714749119,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC_19\usalign_classC_19_clean.fasta",ok,""
"classF","caretta",-29596.0000000000,0.5763211246,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\caretta_classF.fasta",ok,""
"classF","clustalw",56482.0000000000,0.5869699796,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\clustalw_classF.fasta",ok,""
"classF","foldmason",51364.0000000000,0.5936916274,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\foldmason_classF.fasta",ok,""
"classF","kalign",59911.0000000000,0.5707192027,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\kalign_classF.fasta",ok,""
"classF","mafft",60715.0000000000,0.5658766635,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\mafft_classF.fasta",ok,""
"classF","mtmalign",16926.0000000000,0.1367948518,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\mtmalign_classF.fasta",ok,""
"classF","muscle5",58805.0000000000,0.5491077831,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\muscle5_classF.fasta",ok,""
"classF","mustang",49161.0000000000,0.4525139948,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\mustang_classF.fasta",ok,""
"classF","tcoffee",58526.0000000000,0.5469416920,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\tcoffee_classF.fasta",ok,""
"classF","tmaligner",57817.0000000000,0.5710609937,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\tmaligner_classF.fasta",ok,""
"classF","usalign",18984.0000000000,0.2162330523,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\usalign_classF.fasta",ok,""
"classF","usalign_clean",18984.0000000000,0.2162330523,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classF\usalign_classF_clean.fasta",ok,""
"classT2","caretta",132301.0000000000,0.8026980545,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\caretta_classT2.fasta",ok,""
"classT2","clustalw",135712.0000000000,0.7572803134,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\clustalw_classT2.fasta",ok,""
"classT2","foldmason",125030.0000000000,0.7879098369,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\foldmason_classT2.fasta",ok,""
"classT2","kalign",134789.0000000000,0.7647801482,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\kalign_classT2.fasta",ok,""
"classT2","mafft",140296.0000000000,0.7729736489,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\mafft_classT2.fasta",ok,""
"classT2","mtmalign",88149.0000000000,0.4616526795,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\mtmalign_classT2.fasta",ok,""
"classT2","muscle5",138317.0000000000,0.7160911636,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\muscle5_classT2.fasta",ok,""
"classT2","mustang",126000.0000000000,0.6596844076,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\mustang_classT2.fasta",ok,""
"classT2","tcoffee",135440.0000000000,0.7683263927,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\tcoffee_classT2.fasta",ok,""
"classT2","tmaligner",137322.0000000000,0.7289834533,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\tmaligner_classT2.fasta",ok,""
"classT2","usalign",117185.0000000000,0.6747605111,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\usalign_classT2.fasta",ok,""
"classT2","usalign_clean",117185.0000000000,0.6747605111,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2\usalign_classT2_clean.fasta",ok,""
"classT2_19","caretta",68361.0000000000,0.8004468133,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\caretta_classT2_19.fasta",ok,""
"classT2_19","clustalw",70169.0000000000,0.7608178573,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\clustalw_classT2_19.fasta",ok,""
"classT2_19","foldmason",63922.0000000000,0.7863939173,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\foldmason_classT2_19.fasta",ok,""
"classT2_19","kalign",69450.0000000000,0.7744886987,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\kalign_classT2_19.fasta",ok,""
"classT2_19","mafft",72757.0000000000,0.7835385762,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\mafft_classT2_19.fasta",ok,""
"classT2_19","mtmalign",42467.0000000000,0.4836361925,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\mtmalign_classT2_19.fasta",ok,""
"classT2_19","muscle5",71569.0000000000,0.7427921569,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\muscle5_classT2_19.fasta",ok,""
"classT2_19","mustang",64121.0000000000,0.6656220810,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\mustang_classT2_19.fasta",ok,""
"classT2_19","tcoffee",70428.0000000000,0.7759584407,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\tcoffee_classT2_19.fasta",ok,""
"classT2_19","tmaligner",71009.0000000000,0.7458521182,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\tmaligner_classT2_19.fasta",ok,""
"classT2_19","usalign",58690.0000000000,0.6718451054,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\usalign_classT2_19.fasta",ok,""
"classT2_19","usalign_clean",58690.0000000000,0.6718451054,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classT2_19\usalign_classT2_19_clean.fasta",ok,""
