method,objective_1,objective_2
"clustalw",-577873.0000000000,0.1367439327
"kalign",-574775.0000000000,0.1337013036
"mafft",-462552.0000000000,0.1300762493
"muscle5",-519628.0000000000,0.1159258595
"tcoffee",-622478.0000000000,0.0875862524
"tmaligner",-544447.0000000000,0.1278098855
