method,objective_1,objective_2
"clustalw",277881.0000000000,0.3030998786
"kalign",249187.0000000000,0.2831330384
"mafft",408325.0000000000,0.3089680354
"muscle5",422296.0000000000,0.2129151769
"tcoffee",233174.0000000000,0.2054838748
"tmaligner",288901.0000000000,0.2204628583
