Eval	SOPwTP	DDDT
200	-3233176.00	0.65
300	-3233176.00	0.65
400	-3233176.00	0.65
500	-3233176.00	0.65
600	-3231769.00	0.65
700	-3231769.00	0.65
800	-3231769.00	0.65
900	-3231769.00	0.65
1000	-3231769.00	0.65
1100	-3231769.00	0.65
1200	-3231769.00	0.65
1300	-3231769.00	0.65
1400	-3231769.00	0.65
1500	-3231769.00	0.65
1600	-3231769.00	0.65
1700	-3231769.00	0.65
1800	-3231769.00	0.65
1900	-3231769.00	0.65
2000	-3231769.00	0.66
2100	-3231769.00	0.66
2200	-3231769.00	0.66
2300	-3231769.00	0.66
2400	-3231769.00	0.66
2500	-3231769.00	0.66
2600	-3231769.00	0.66
2700	-3231769.00	0.66
2800	-3231769.00	0.66
2900	-3231769.00	0.66
3000	-3231769.00	0.66
3100	-3231769.00	0.66
3200	-3231769.00	0.66
3300	-3231769.00	0.66
3400	-3231769.00	0.66
3500	-3231769.00	0.66
3600	-3231769.00	0.66
3700	-3231769.00	0.66
3800	-3231769.00	0.66
3900	-3231769.00	0.66
4000	-3231769.00	0.66
4100	-3231769.00	0.67
4200	-3231769.00	0.67
4300	-3231769.00	0.67
4400	-3231769.00	0.67
4500	-3231769.00	0.67
4600	-3231769.00	0.67
4700	-3231769.00	0.67
4800	-3231769.00	0.67
4900	-3231769.00	0.67
5000	-3231769.00	0.67
