method,objective_1,objective_2
"caretta",40702.0000000000,0.6923373304
"clustalw",96688.0000000000,0.7349528211
"foldmason",88460.0000000000,0.7707390657
"kalign",99709.0000000000,0.7372443299
"mafft",101118.0000000000,0.7560474261
"mtmalign",70669.0000000000,0.2721440556
"muscle5",101918.0000000000,0.6915812960
"mustang",85151.0000000000,0.4867030233
"tcoffee",100646.0000000000,0.7038088498
"tmaligner",96901.0000000000,0.7193267159
"usalign",75771.0000000000,0.4021247368
"usalign_clean",75771.0000000000,0.4021247368
